city,state,tier,area_sqft,floors,building_type,quality,total_area_sqft,cement_bags,sand_cft,bricks,aggregate_cft,steel_kg,price_cement_per_bag,price_sand_per_cft,price_brick_per_nos,price_agg_per_cft,price_steel_per_kg,cost_cement,cost_sand,cost_bricks,cost_aggregate,cost_steel,total_material_cost
delhi,Delhi,1,1325.93,5,0,1,6629.64,2957,10035,45513,8969,30330,410,78,8,50,65,1212370,782730,364104,448450,1971450,4779104
chennai,Tamil Nadu,1,3453.02,7,1,2,24171.13,11842,37318,125925,41518,186156,410,73,8,45,61,4855220,2724214,1007400,1868310,11355516,21810660
chandigarh,Punjab,1,900.63,2,1,1,1801.26,673,2610,9073,2401,11330,390,68,11,48,64,262470,177480,99803,115248,725120,1380121
amritsar,Punjab,2,5718.8,2,0,0,11437.6,3740,14025,63880,11340,38312,390,68,11,48,64,1458600,953700,702680,544320,2451968,6111268
kanpur,Uttar Pradesh,1,1190.06,5,0,0,5950.28,2576,6925,34026,6409,21671,395,65,9,42,60,1017520,450125,306234,269178,1300260,3343317
ghaziabad,Uttar Pradesh,2,1130.44,1,1,2,1130.44,646,1828,5990,1797,8235,405,78,11,52,66,261630,142584,65890,93444,543510,1107058
salem,Tamil Nadu,2,474.49,2,2,0,948.98,332,1200,3275,1105,7279,360,52,8,36,59,119520,62400,26200,39780,429461,677361
tirunelveli,Tamil Nadu,3,1081.28,2,0,2,2162.57,1180,3592,15357,3181,10398,352,50,8,35,57,415360,179600,122856,111335,592686,1421837
delhi,Delhi,1,3812.74,7,0,2,26689.17,15629,45749,194952,45710,143382,410,78,8,50,65,6407890,3568422,1559616,2285500,9319830,23141258
mumbai,Maharashtra,1,10129.35,5,2,2,50646.76,33679,79113,212133,89451,508400,450,88,15,60,67,15155550,6961944,3181995,5367060,34062800,64729349
vadodara,Gujarat,2,3427.99,3,0,0,10283.97,3589,12027,57362,11335,35961,382,58,10,42,56,1370998,697566,573620,476070,2013816,5132070
ghaziabad,Uttar Pradesh,2,6188.62,3,0,1,18565.85,8208,26531,126247,27280,80286,405,78,11,52,66,3324240,2069418,1388717,1418560,5298876,13499811
agra,Uttar Pradesh,2,4251.35,3,0,1,12754.04,6399,18416,79085,15395,51844,395,65,9,42,60,2527605,1197040,711765,646590,3110640,8193640
mangalore,Karnataka,2,5925.05,2,1,2,11850.09,6954,20538,69213,20505,91176,378,65,11,47,64,2628612,1334970,761343,963735,5835264,11523924
raipur,Chhattisgarh,2,3894.17,2,0,1,7788.33,3361,11437,49669,8987,30517,365,58,9,40,60,1226765,663346,447021,359480,1831020,4527632
erode,Tamil Nadu,3,844.6,1,2,0,844.6,415,1168,2908,955,6012,355,52,8,35,58,147325,60736,23264,33425,348696,613446
salem,Tamil Nadu,2,2383.72,1,0,1,2383.72,992,3201,14431,2671,9158,360,52,8,36,59,357120,166452,115448,96156,540322,1275498
jaipur,Rajasthan,1,5500.44,7,1,2,38503.08,25996,71385,211157,71114,315365,405,62,7,43,60,10528380,4425870,1478099,3057902,18921900,38412151
ghaziabad,Uttar Pradesh,2,7999.96,2,0,1,15999.93,5755,23521,101036,19294,64650,405,78,11,52,66,2330775,1834638,1111396,1003288,4266900,10546997
lucknow,Uttar Pradesh,1,6189.57,3,2,1,18568.72,10886,28919,79544,29693,174460,405,65,9,47,60,4408830,1879735,715896,1395571,10467600,18867632
agra,Uttar Pradesh,2,1632.96,2,0,1,3265.93,1202,4614,20176,4083,12792,395,65,9,42,60,474790,299910,181584,171486,767520,1895290
ranchi,Jharkhand,2,4099.85,1,1,0,4099.85,1347,5742,19969,4453,24480,375,60,9,42,62,505125,344520,179721,187026,1517760,2734152
visakhapatnam,Andhra Pradesh,1,6472.9,2,1,2,12945.8,8625,21801,71601,20274,97342,385,62,10,44,63,3320625,1351662,716010,892056,6132546,12412899
udaipur,Rajasthan,2,4095.42,4,1,2,16381.68,8831,24471,86020,26361,118865,392,60,8,40,58,3461752,1468260,688160,1054440,6894170,13566782
jaipur,Rajasthan,1,1066.03,4,0,2,4264.11,2111,7288,31239,6740,22042,405,62,7,43,60,854955,451856,218673,289820,1322520,3137824
amritsar,Punjab,2,2849.36,4,0,1,11397.44,3635,16160,73948,15208,48826,390,68,11,48,64,1417650,1098880,813428,729984,3124864,7184806
vellore,Tamil Nadu,3,641.3,1,0,1,641.3,282,947,4157,794,2651,355,50,8,35,58,100110,47350,33256,27790,153758,362264
thiruvananthapuram,Kerala,1,9409.61,1,1,2,9409.61,4853,15691,48998,14937,67178,395,72,12,52,67,1916935,1129752,587976,776724,4500926,8912313
amritsar,Punjab,2,2798.93,2,0,1,5597.86,2722,8412,39180,7812,24518,390,68,11,48,64,1061580,572016,430980,374976,1569152,4008704
erode,Tamil Nadu,3,1969.41,3,0,1,5908.23,2067,8493,37424,6684,24701,355,52,8,35,58,733785,441636,299392,233940,1432658,3141411
hyderabad,Telangana,1,4538.37,8,0,2,36306.92,18707,57691,256698,58146,189609,415,60,8,42,61,7763405,3461460,2053584,2442132,11566149,27286730
indore,Madhya Pradesh,1,7258.09,1,0,2,7258.09,3511,11369,48577,10103,32295,380,60,11,43,58,1334180,682140,534347,434429,1873110,4858206
jaipur,Rajasthan,1,1912.44,5,2,2,9562.2,6920,15652,43012,17990,102031,405,62,7,43,60,2802600,970424,301084,773570,6121860,10969538
thoothukudi,Tamil Nadu,3,2510.58,1,0,1,2510.58,1208,3615,17447,2897,10809,352,50,8,35,57,425216,180750,139576,101395,616113,1463050
guwahati,Assam,1,4498.97,3,1,1,13496.9,6703,21702,74393,20300,95336,385,65,10,45,67,2580655,1410630,743930,913500,6387512,12036227
mumbai,Maharashtra,1,5362.03,3,0,2,16086.08,6263,24624,104524,23153,69536,450,88,15,60,67,2818350,2166912,1567860,1389180,4658912,12601214
chennai,Tamil Nadu,1,4361.97,4,1,1,17447.87,8349,27034,93450,27377,124047,410,73,8,45,61,3423090,1973482,747600,1231965,7566867,14943004
salem,Tamil Nadu,2,4312.36,2,1,2,8624.73,4957,14503,47375,13817,65431,360,52,8,36,59,1784520,754156,379000,497412,3860429,7275517
guntur,Andhra Pradesh,2,7245.77,2,0,1,14491.53,6099,22826,100082,17934,62679,380,60,9,42,62,2317620,1369560,900738,753228,3886098,9227244
chandigarh,Punjab,1,7966.45,2,0,2,15932.9,7939,25477,107445,22058,72311,390,68,11,48,64,3096210,1732436,1181895,1058784,4627904,11697229
erode,Tamil Nadu,3,1408.7,2,2,0,2817.4,1298,3432,9791,3087,20396,355,52,8,35,58,460790,178464,78328,108045,1182968,2008595
dehradun,Uttarakhand,2,2934.17,2,0,1,5868.34,2572,8044,39078,7599,24768,400,68,10,48,68,1028800,546992,390780,364752,1684224,4015548
kolkata,West Bengal,1,6180.03,3,1,1,18540.08,10254,28033,98132,29735,129056,400,65,8,43,63,4101600,1822145,785056,1278605,8130528,16117934
ahmedabad,Gujarat,1,8619.57,1,2,1,8619.57,4917,11086,32132,11662,68088,385,58,7,40,55,1893045,642988,224924,466480,3744840,6972277
salem,Tamil Nadu,2,340.66,3,0,1,1021.97,351,1433,6507,1216,4064,360,52,8,36,59,126360,74516,52056,43776,239776,536484
kolkata,West Bengal,1,1612.38,4,2,1,6449.53,3089,9347,25017,9859,55831,400,65,8,43,63,1235600,607555,200136,423937,3517353,5984581
madurai,Tamil Nadu,2,5553.53,2,0,1,11107.06,4371,14497,68952,12927,43137,368,58,9,38,60,1608528,840826,620568,491226,2588220,6149368
tirunelveli,Tamil Nadu,3,1930.94,2,0,1,3861.88,1507,5297,23869,4597,15665,352,50,8,35,57,530464,264850,190952,160895,892905,2040066
delhi,Delhi,1,8821.19,5,1,2,44105.96,31992,76157,243626,77786,353611,410,78,8,50,65,13116720,5940246,1949008,3889300,22984715,47879989
kochi,Kerala,1,10080.52,3,0,1,30241.55,13022,43911,206210,40323,131597,395,72,12,52,67,5143690,3161592,2474520,2096796,8816999,21693597
gurgaon,Haryana,1,3747.45,5,0,2,18737.25,10681,32947,138753,31573,96569,405,78,11,52,66,4325805,2569866,1526283,1641796,6373554,16437304
bangalore,Karnataka,1,6552.57,4,0,0,26210.27,9597,33262,150618,25530,93927,380,68,12,52,65,3646860,2261816,1807416,1327560,6105255,15148907
kochi,Kerala,1,2093.83,4,2,1,8375.31,3899,10841,31430,11526,68006,395,72,12,52,67,1540105,780552,377160,599352,4556402,7853571
ghaziabad,Uttar Pradesh,2,4534.49,1,1,0,4534.49,1789,6095,21723,5109,26096,405,78,11,52,66,724545,475410,238953,265668,1722336,3426912
thoothukudi,Tamil Nadu,3,3096.21,1,0,1,3096.21,1284,4600,20775,3940,12432,352,50,8,35,57,451968,230000,166200,137900,708624,1694692
thoothukudi,Tamil Nadu,3,2198.79,1,0,0,2198.79,726,2920,13379,2446,7953,352,50,8,35,57,255552,146000,107032,85610,453321,1047515
kolkata,West Bengal,1,3832.24,3,1,1,11496.71,4905,16129,54925,15389,70702,400,65,8,43,63,1962000,1048385,439400,661727,4454226,8565738
rajkot,Gujarat,2,3872.78,1,0,1,3872.78,1758,6164,26190,5244,16535,378,55,9,38,56,664524,339020,235710,199272,925960,2364486
erode,Tamil Nadu,3,1764.71,1,0,0,1764.71,668,2230,9860,1837,5923,355,52,8,35,58,237140,115960,78880,64295,343534,839809
gurgaon,Haryana,1,1312.21,2,2,2,2624.42,1596,4639,12060,4936,27631,405,78,11,52,66,646380,361842,132660,256672,1823646,3221200
hyderabad,Telangana,1,2336.09,1,1,2,2336.09,1300,3878,13475,3861,18364,415,60,8,42,61,539500,232680,107800,162162,1120204,2162346
hyderabad,Telangana,1,5175.98,4,0,2,20703.9,11509,33375,142760,29786,100435,415,60,8,42,61,4776235,2002500,1142080,1251012,6126535,15298362
mumbai,Maharashtra,1,2397.51,3,1,0,7192.52,1945,8011,31183,7163,38714,450,88,15,60,67,875250,704968,467745,429780,2593838,5071581
delhi,Delhi,1,3881.55,2,0,1,7763.09,3493,10990,50693,9499,32283,410,78,8,50,65,1432130,857220,405544,474950,2098395,5268239
thoothukudi,Tamil Nadu,3,1747.59,1,0,2,1747.59,1015,2892,13120,2489,8601,352,50,8,35,57,357280,144600,104960,87115,490257,1184212
guwahati,Assam,1,8880.08,3,0,0,26640.24,11022,37031,168344,30835,108156,385,65,10,45,67,4243470,2407015,1683440,1387575,7246452,16967952
visakhapatnam,Andhra Pradesh,1,10998.02,8,0,2,87984.17,53671,144638,592770,135804,443407,385,62,10,44,63,20663335,8967556,5927700,5975376,27934641,69468608
bhopal,Madhya Pradesh,1,9293.65,4,1,0,37174.6,12995,42319,155615,38723,196569,370,60,10,43,62,4808150,2539140,1556150,1665089,12187278,22755807
thoothukudi,Tamil Nadu,3,3822.01,1,0,1,3822.01,1942,5070,23415,4003,14417,352,50,8,35,57,683584,253500,187320,140105,821769,2086278
hyderabad,Telangana,1,8044.78,2,1,2,16089.57,8816,27856,91460,27038,124694,415,60,8,42,61,3658640,1671360,731680,1135596,7606334,14803610
bhopal,Madhya Pradesh,1,7866.4,2,0,2,15732.8,7989,29235,121925,25249,82784,370,60,10,43,62,2955930,1754100,1219250,1085707,5132608,12147595
mangalore,Karnataka,2,7988.77,4,1,1,31955.07,17359,42487,146301,39958,194997,378,65,11,47,64,6561702,2761655,1609311,1878026,12479808,25290502
lucknow,Uttar Pradesh,1,9774.4,3,0,2,29323.21,15818,45776,204161,44010,136910,405,65,9,47,60,6406290,2975440,1837449,2068470,8214600,21502249
visakhapatnam,Andhra Pradesh,1,5643.32,2,2,1,11286.64,4912,15723,42348,15999,91983,385,62,10,44,63,1891120,974826,423480,703956,5794929,9788311
hubli,Karnataka,2,2603.28,2,0,1,5206.55,2214,7624,36172,6620,22473,375,62,10,45,64,830250,472688,361720,297900,1438272,3400830
chennai,Tamil Nadu,1,1864.62,2,0,2,3729.24,1496,5874,24870,4957,16817,410,73,8,45,61,613360,428802,198960,223065,1025837,2490024
kanpur,Uttar Pradesh,1,6824.02,2,1,1,13648.03,6106,18631,63269,17371,79728,395,65,9,42,60,2411870,1211015,569421,729582,4783680,9705568
ghaziabad,Uttar Pradesh,2,7359.8,3,0,0,22079.41,8054,29116,136475,22746,84907,405,78,11,52,66,3261870,2271048,1501225,1182792,5603862,13820797
tirunelveli,Tamil Nadu,3,1717.1,1,0,0,1717.1,514,2331,10588,1715,6277,352,50,8,35,57,180928,116550,84704,60025,357789,799996
visakhapatnam,Andhra Pradesh,1,8729.88,4,1,1,34919.51,18130,54166,190640,51623,248552,385,62,10,44,63,6980050,3358292,1906400,2271412,15658776,30174930
aurangabad,Maharashtra,2,3057.35,1,1,1,3057.35,1461,3997,14267,3726,17969,375,60,9,43,61,547875,239820,128403,160218,1096109,2172425
bangalore,Karnataka,1,7341.15,2,0,0,14682.31,4423,19495,91289,15634,54298,380,68,12,52,65,1680740,1325660,1095468,812968,3529370,8444206
kolkata,West Bengal,1,3817.3,4,0,1,15269.22,6213,20981,93307,17681,59688,400,65,8,43,63,2485200,1363765,746456,760283,3760344,9116048
kozhikode,Kerala,2,3379.32,2,0,1,6758.64,3586,10169,44847,7963,27834,390,70,12,50,66,1398540,711830,538164,398150,1837044,4883728
jaipur,Rajasthan,1,5316.33,4,0,1,21265.3,10024,34055,151086,30589,100504,405,62,7,43,60,4059720,2111410,1057602,1315327,6030240,14574299
kanpur,Uttar Pradesh,1,5228.41,1,0,1,5228.41,2528,8055,36132,6383,21737,395,65,9,42,60,998560,523575,325188,268086,1304220,3419629
thiruvananthapuram,Kerala,1,10209.83,4,0,1,40839.32,15495,57809,242629,45390,160861,395,72,12,52,67,6120525,4162248,2911548,2360280,10777687,26332288
jaipur,Rajasthan,1,6346.83,1,0,1,6346.83,2858,8625,40271,7057,24231,405,62,7,43,60,1157490,534750,281897,303451,1453860,3731448
warangal,Telangana,2,2764.06,1,2,1,2764.06,1467,4246,11540,4447,25057,395,58,8,42,62,579465,246268,92320,186774,1553534,2658361
jaipur,Rajasthan,1,2126.14,2,0,0,4252.29,1428,5794,25766,4177,15930,405,62,7,43,60,578340,359228,180362,179611,955800,2253341
trichy,Tamil Nadu,2,5023.78,4,0,2,20095.1,9724,34703,146986,31229,102991,362,54,9,37,59,3520088,1873962,1322874,1155473,6076469,13948866
coimbatore,Tamil Nadu,2,3222.55,1,0,1,3222.55,1147,4675,19501,3514,12347,370,62,10,40,62,424390,289850,195010,140560,765514,1815324
ghaziabad,Uttar Pradesh,2,6126.31,1,0,1,6126.31,2844,9358,40989,7640,24685,405,78,11,52,66,1151820,729924,450879,397280,1629210,4359113
bangalore,Karnataka,1,2673.72,6,2,0,16042.35,5811,21382,56527,19726,131554,380,68,12,52,65,2208180,1453976,678324,1025752,8551010,13917242
ludhiana,Punjab,1,9183.59,3,1,0,27550.77,12410,37767,134143,34803,171451,388,68,11,48,64,4815080,2568156,1475573,1670544,10972864,21502217
visakhapatnam,Andhra Pradesh,1,5366.57,3,0,1,16099.7,5408,23130,97225,18459,61595,385,62,10,44,63,2082080,1434060,972250,812196,3880485,9181071
raipur,Chhattisgarh,2,3423.91,2,0,2,6847.82,3121,10185,46079,10001,30949,365,58,9,40,60,1139165,590730,414711,400040,1856940,4401586
tirunelveli,Tamil Nadu,3,2652.91,5,0,1,13264.55,2400,17178,84176,17425,55283,352,50,8,35,57,844800,858900,673408,609875,3151131,6138114
nagpur,Maharashtra,2,1550.74,2,2,2,3101.47,1858,4822,13151,5009,29556,385,62,11,43,61,715330,298964,144661,215387,1802916,3177258
lucknow,Uttar Pradesh,1,5907.22,6,2,2,35443.31,25182,61912,161111,73674,407771,405,65,9,47,60,10198710,4024280,1449999,3462678,24466260,43601927
faridabad,Haryana,2,4427.19,2,2,0,8854.39,3082,10942,29609,9010,62686,405,78,11,52,66,1248210,853476,325699,468520,4137276,7033181
chandigarh,Punjab,1,11030.03,1,0,2,11030.03,6171,20490,85598,17284,56321,390,68,11,48,64,2406690,1393320,941578,829632,3604544,9175764
tirunelveli,Tamil Nadu,3,2875.68,1,2,0,2875.68,1430,3229,9757,3295,20543,352,50,8,35,57,503360,161450,78056,115325,1170951,2029142
warangal,Telangana,2,4270.93,1,0,1,4270.93,1883,5957,29050,5090,17755,395,58,8,42,62,743785,345506,232400,213780,1100810,2636281
gurgaon,Haryana,1,7404.71,3,0,0,22214.12,7191,29956,134508,24092,85783,405,78,11,52,66,2912355,2336568,1479588,1252784,5661678,13642973
gorakhpur,Uttar Pradesh,2,5872.11,1,0,1,5872.11,2640,9372,37320,7078,23260,390,65,9,42,60,1029600,609180,335880,297276,1395600,3667536
chennai,Tamil Nadu,1,3463.44,6,1,2,20780.65,12148,31139,101834,33633,149477,410,73,8,45,61,4980680,2273147,814672,1513485,9118097,18700081
erode,Tamil Nadu,3,2983.77,2,0,2,5967.54,3148,10285,40012,8785,27750,355,52,8,35,58,1117540,534820,320096,307475,1609500,3889431
madurai,Tamil Nadu,2,7850.58,2,0,1,15701.15,6663,23761,111082,19847,68128,368,58,9,38,60,2451984,1378138,999738,754186,4087680,9671726
surat,Gujarat,1,5969.5,4,0,0,23877.98,7457,28819,135405,25814,86881,380,58,10,42,57,2833660,1671502,1354050,1084188,4952217,11895617
hyderabad,Telangana,1,6218.91,3,0,1,18656.74,8384,27851,123805,23650,77831,415,60,8,42,61,3479360,1671060,990440,993300,4747691,11881851
erode,Tamil Nadu,3,392.82,1,0,0,392.82,108,449,2174,382,1331,355,52,8,35,58,38340,23348,17392,13370,77198,169648
ludhiana,Punjab,1,2783.94,1,1,2,2783.94,1568,4217,13354,4050,18393,388,68,11,48,64,608384,286756,146894,194400,1177152,2413586
trichy,Tamil Nadu,2,6743.67,3,0,2,20231.0,11047,34536,143674,31108,97490,362,54,9,37,59,3999014,1864944,1293066,1150996,5751910,14059930
udaipur,Rajasthan,2,5198.64,3,0,1,15595.92,6414,22617,104567,19861,67264,392,60,8,40,58,2514288,1357020,836536,794440,3901312,9403596
tirunelveli,Tamil Nadu,3,2411.76,2,1,1,4823.53,2489,7059,24840,6752,31329,352,50,8,35,57,876128,352950,198720,236320,1785753,3449871
lucknow,Uttar Pradesh,1,6157.33,1,1,0,6157.33,2337,7336,27495,6619,32669,405,65,9,47,60,946485,476840,247455,311093,1960140,3942013
nashik,Maharashtra,2,4965.24,3,2,1,14895.72,7860,22016,56565,22180,128232,390,62,9,44,62,3065400,1364992,509085,975920,7950384,13865781
warangal,Telangana,2,7887.0,3,0,1,23661.0,9124,29252,139843,27180,91021,395,58,8,42,62,3603980,1696616,1118744,1141560,5643302,13204202
jaipur,Rajasthan,1,11242.59,2,2,2,22485.17,15069,38152,105186,41262,235015,405,62,7,43,60,6102945,2365424,736302,1774266,14100900,25079837
durgapur,West Bengal,2,878.08,3,1,1,2634.23,1338,4083,14145,3931,18387,380,65,10,44,63,508440,265395,141450,172964,1158381,2246630
trichy,Tamil Nadu,2,6477.4,2,0,1,12954.8,5412,18420,83408,16544,52597,362,54,9,37,59,1959144,994680,750672,612128,3103223,7419847
tirunelveli,Tamil Nadu,3,1695.97,1,0,1,1695.97,839,2746,10654,1937,6926,352,50,8,35,57,295328,137300,85232,67795,394782,980437
vellore,Tamil Nadu,3,3193.53,2,1,1,6387.07,2913,8524,31225,7857,39123,355,50,8,35,58,1034115,426200,249800,274995,2269134,4254244
bhubaneswar,Odisha,1,6526.05,4,0,2,26104.2,16806,46143,198890,41047,137926,380,60,10,43,65,6386280,2768580,1988900,1765021,8965190,21873971
jabalpur,Madhya Pradesh,2,7550.36,4,0,2,30201.45,13394,48441,209524,42083,143904,365,58,10,42,60,4888810,2809578,2095240,1767486,8634240,20195354
guwahati,Assam,1,11091.64,3,0,1,33274.91,15243,45278,212238,40129,134185,385,65,10,45,67,5868555,2943070,2122380,1805805,8990395,21730205
meerut,Uttar Pradesh,2,1178.38,2,0,1,2356.77,1039,3499,14902,2817,9789,400,68,9,44,62,415600,237932,134118,123948,606918,1518516
delhi,Delhi,1,11375.73,4,0,2,45502.92,22320,79055,338279,75087,235642,410,78,8,50,65,9151200,6166290,2706232,3754350,15316730,37094802
mangalore,Karnataka,2,5919.77,3,0,2,17759.3,8401,29512,125106,26266,86101,378,65,11,47,64,3175578,1918280,1376166,1234502,5510464,13214990
tirunelveli,Tamil Nadu,3,557.51,2,0,0,1115.02,375,1451,6544,1077,4160,352,50,8,35,57,132000,72550,52352,37695,237120,531717
visakhapatnam,Andhra Pradesh,1,5303.52,3,0,0,15910.57,6474,22036,100517,17229,61504,385,62,10,44,63,2492490,1366232,1005170,758076,3874752,9496720
cuttack,Odisha,2,3029.52,5,0,1,15147.62,6203,22347,101319,19139,67352,375,58,9,42,64,2326125,1296126,911871,803838,4310528,9648488
surat,Gujarat,1,9083.71,2,0,1,18167.43,7535,24964,113951,22586,71397,380,58,10,42,57,2863300,1447912,1139510,948612,4069629,10468963
bangalore,Karnataka,1,10386.09,4,0,1,41544.36,18392,60520,275793,52473,177883,380,68,12,52,65,6988960,4115360,3309516,2728596,11562395,28704827
jaipur,Rajasthan,1,825.02,3,0,1,2475.06,946,3239,15415,2829,9881,405,62,7,43,60,383130,200818,107905,121647,592860,1406360
dehradun,Uttarakhand,2,7058.82,1,0,1,7058.82,3274,11208,49619,8970,29852,400,68,10,48,68,1309600,762144,496190,430560,2029936,5028430
bhopal,Madhya Pradesh,1,5320.84,5,1,2,26604.18,17465,46251,149743,46020,212950,370,60,10,43,62,6462050,2775060,1497430,1978860,13202900,25916300
mumbai,Maharashtra,1,1458.94,5,1,0,7294.72,3035,7854,29164,8066,38928,450,88,15,60,67,1365750,691152,437460,483960,2608176,5586498
vellore,Tamil Nadu,3,643.92,3,0,0,1931.77,790,2512,11019,1770,7079,355,50,8,35,58,280450,125600,88152,61950,410582,966734
kozhikode,Kerala,2,1599.28,2,0,1,3198.56,1361,4987,22256,4488,14131,390,70,12,50,66,530790,349090,267072,224400,932646,2303998
faridabad,Haryana,2,4028.45,6,0,1,24170.68,10404,33484,152583,31143,99040,405,78,11,52,66,4213620,2611752,1678413,1619436,6536640,16659861
gorakhpur,Uttar Pradesh,2,2550.9,2,1,1,5101.79,2349,7638,27466,7476,34429,390,65,9,42,60,916110,496470,247194,313992,2065740,4039506
kochi,Kerala,1,2661.18,4,0,0,10644.7,4131,13821,61019,10942,40075,395,72,12,52,67,1631745,995112,732228,568984,2685025,6613094
aurangabad,Maharashtra,2,3175.64,1,0,1,3175.64,1098,4302,20025,3877,12746,375,60,9,43,61,411750,258120,180225,166711,777506,1794312
thoothukudi,Tamil Nadu,3,677.26,2,2,1,1354.52,738,1973,5141,1819,11081,352,50,8,35,57,259776,98650,41128,63665,631617,1094836
erode,Tamil Nadu,3,3815.03,1,0,0,3815.03,1185,4913,20611,3531,12807,355,52,8,35,58,420675,255476,164888,123585,742806,1707430
aurangabad,Maharashtra,2,4649.36,2,2,2,9298.72,5342,14922,40077,16455,91174,375,60,9,43,61,2003250,895320,360693,707565,5561614,9528442
erode,Tamil Nadu,3,2028.29,4,0,0,8113.18,3274,11303,49359,9210,33338,355,52,8,35,58,1162270,587756,394872,322350,1933604,4400852
kozhikode,Kerala,2,6867.81,5,1,1,34339.03,16077,52785,179984,54278,243208,390,70,12,50,66,6270030,3694950,2159808,2713900,16051728,30890416
warangal,Telangana,2,5160.04,2,0,2,10320.08,4364,17136,69742,15953,48234,395,58,8,42,62,1723780,993888,557936,670026,2990508,6936138
faridabad,Haryana,2,4607.01,2,0,1,9214.03,4092,12089,58172,10786,34611,405,78,11,52,66,1657260,942942,639892,560872,2284326,6085292
thoothukudi,Tamil Nadu,3,359.56,3,0,0,1078.69,390,1439,6620,1156,3987,352,50,8,35,57,137280,71950,52960,40460,227259,529909
udaipur,Rajasthan,2,6320.66,5,2,1,31603.28,15560,48213,134426,48064,305151,392,60,8,40,58,6099520,2892780,1075408,1922560,17698758,29689026
mangalore,Karnataka,2,3422.78,2,0,1,6845.55,3605,10547,46615,8652,29976,378,65,11,47,64,1362690,685555,512765,406644,1918464,4886118
bangalore,Karnataka,1,4029.73,3,1,1,12089.18,4798,16336,56882,15691,72347,380,68,12,52,65,1823240,1110848,682584,815932,4702555,9135159
meerut,Uttar Pradesh,2,7603.17,3,1,2,22809.5,15591,40942,133188,37987,184665,400,68,9,44,62,6236400,2784056,1198692,1671428,11449230,23339806
chennai,Tamil Nadu,1,8254.24,6,1,1,49525.46,26772,67649,242548,71175,335656,410,73,8,45,61,10976520,4938377,1940384,3202875,20475016,41533172
gorakhpur,Uttar Pradesh,2,1800.35,4,1,0,7201.39,3408,9642,34836,9167,42007,390,65,9,42,60,1329120,626730,313524,385014,2520420,5174808
howrah,West Bengal,1,7228.78,2,2,2,14457.55,9590,26459,64628,25473,151135,395,65,10,44,63,3788050,1719835,646280,1120812,9521505,16796482
