city,state,tier,area_sqft,floors,building_type,quality,total_area_sqft,cement_bags,sand_cft,bricks,aggregate_cft,steel_kg,price_cement_per_bag,price_sand_per_cft,price_brick_per_nos,price_agg_per_cft,price_steel_per_kg,cost_cement,cost_sand,cost_bricks,cost_aggregate,cost_steel,total_material_cost
faridabad,Haryana,2,754.51,2,0,1,1509.02,791,2289,10110,1890,6363,405.0,78.0,11.0,52.0,66.0,320355,178542,111210,98280,419958,1128345
erode,Tamil Nadu,3,4197.99,2,0,1,8395.99,3609,12575,59445,11024,36441,355.0,52.0,8.0,35.0,58.0,1281195,653900,475560,385840,2113578,4910073
warangal,Telangana,2,4980.75,1,0,1,4980.75,1889,6903,31109,5314,18446,395.0,58.0,8.0,42.0,62.0,746155,400374,248872,223188,1143652,2762241
warangal,Telangana,2,3020.37,3,0,0,9061.11,3579,12100,57149,10441,35072,395.0,58.0,8.0,42.0,62.0,1413705,701800,457192,438522,2174464,5185683
raipur,Chhattisgarh,2,7620.7,10,2,2,76207.0,50464,118708,345404,150146,894673,365.0,58.0,9.0,40.0,60.0,18419360,6885064,3108636,6005840,53680380,88099280
warangal,Telangana,2,7756.49,1,2,1,7756.49,3882,11127,29047,10839,62756,395.0,58.0,8.0,42.0,62.0,1533390,645366,232376,455238,3890872,6757242
surat,Gujarat,1,10235.95,3,0,2,30707.85,15009,51492,214377,42614,145505,380.0,58.0,10.0,42.0,57.0,5703420,2986536,2143770,1789788,8293785,20917299
pune,Maharashtra,1,8942.26,1,1,1,8942.26,4820,12924,42168,11315,53363,405.0,68.0,8.0,43.0,59.0,1952100,878832,337344,486545,3148417,6803238
trichy,Tamil Nadu,2,6602.37,7,0,1,46216.56,21258,64675,301940,59335,207664,362.0,54.0,9.0,37.0,59.0,7695396,3492450,2717460,2195395,12252176,28352877
thiruvananthapuram,Kerala,1,7912.32,2,0,0,15824.65,5307,22019,101078,17880,59812,395.0,72.0,12.0,52.0,67.0,2096265,1585368,1212936,929760,4007404,9831733
vadodara,Gujarat,2,3433.07,5,0,1,17165.34,7574,23223,105209,20898,70572,382.0,58.0,10.0,42.0,56.0,2893268,1346934,1052090,877716,3952032,10122040
amritsar,Punjab,2,7198.06,2,0,2,14396.13,7493,23955,102702,20900,69998,390.0,68.0,11.0,48.0,64.0,2922270,1628940,1129722,1003200,4479872,11164004
meerut,Uttar Pradesh,2,5972.88,4,1,1,23891.53,12059,31348,113025,32197,149186,400.0,68.0,9.0,44.0,62.0,4823600,2131664,1017225,1416668,9249532,18638689
surat,Gujarat,1,1773.46,2,0,2,3546.93,1631,5496,23519,4987,15668,380.0,58.0,10.0,42.0,57.0,619780,318768,235190,209454,893076,2276268
bhubaneswar,Odisha,1,3062.02,2,2,2,6124.04,4434,10486,28953,11567,65041,380.0,60.0,10.0,43.0,65.0,1684920,629160,289530,497381,4227665,7328656
guwahati,Assam,1,3641.98,1,0,0,3641.98,1260,4128,20518,3602,12080,385.0,65.0,10.0,45.0,67.0,485100,268320,205180,162090,809360,1930050
chennai,Tamil Nadu,1,11106.85,2,0,0,22213.71,6826,25983,125028,21155,76023,410.0,73.0,8.0,45.0,61.0,2798660,1896759,1000224,951975,4637403,11285021
mysore,Karnataka,2,2918.56,5,0,2,14592.81,8609,25982,111591,24358,77993,375.0,62.0,10.0,44.0,64.0,3228375,1610884,1115910,1071752,4991552,12018473
gorakhpur,Uttar Pradesh,2,3613.08,3,1,1,10839.23,5463,14708,54618,13957,68250,390.0,65.0,9.0,42.0,60.0,2130570,956020,491562,586194,4095000,8259346
aurangabad,Maharashtra,2,4558.38,2,1,1,9116.76,4203,12182,42001,11688,53453,375.0,60.0,9.0,43.0,61.0,1576125,730920,378009,502584,3260633,6448271
indore,Madhya Pradesh,1,8032.16,8,1,1,64257.31,32123,98579,318454,99166,470159,380.0,60.0,11.0,43.0,58.0,12206740,5914740,3502994,4264138,27269222,53157834
vijayawada,Andhra Pradesh,2,1595.21,2,0,2,3190.43,1421,5520,23301,4857,15241,380.0,60.0,9.0,43.0,62.0,539980,331200,209709,208851,944942,2234682
durgapur,West Bengal,2,11456.55,8,0,1,91652.43,40254,146733,624242,127677,434920,380.0,65.0,10.0,44.0,63.0,15296520,9537645,6242420,5617788,27399960,64094333
srinagar,Jammu and Kashmir,2,10413.74,1,0,2,10413.74,5486,17948,74404,14570,50672,430.0,90.0,13.0,60.0,74.0,2358980,1615320,967252,874200,3749728,9565480
varanasi,Uttar Pradesh,2,7011.15,6,0,2,42066.9,23574,65967,297010,64025,208167,390.0,65.0,9.0,43.0,60.0,9193860,4287855,2673090,2753075,12490020,31397900
chennai,Tamil Nadu,1,8153.65,1,1,1,8153.65,2700,11213,36983,9163,47135,410.0,73.0,8.0,45.0,61.0,1107000,818549,295864,412335,2875235,5508983
jabalpur,Madhya Pradesh,2,396.59,3,0,1,1189.78,561,1880,7950,1551,5127,365.0,58.0,10.0,42.0,60.0,204765,109040,79500,65142,307620,766067
thoothukudi,Tamil Nadu,3,4199.55,2,0,1,8399.1,3173,11218,52858,10220,33165,352.0,50.0,8.0,35.0,57.0,1116896,560900,422864,357700,1890405,4348765
ahmedabad,Gujarat,1,9588.79,3,0,0,28766.37,9637,41054,183983,30115,112677,385.0,58.0,7.0,40.0,55.0,3710245,2381132,1287881,1204600,6197235,14781093
gurgaon,Haryana,1,1114.3,3,0,1,3342.9,1312,4551,21198,4258,13387,405.0,78.0,11.0,52.0,66.0,531360,354978,233178,221416,883542,2224474
jodhpur,Rajasthan,2,3531.3,2,1,0,7062.61,2934,9496,33154,7869,41708,390.0,60.0,8.0,40.0,58.0,1144260,569760,265232,314760,2419064,4713076
raipur,Chhattisgarh,2,7106.5,10,1,2,71065.03,49315,127917,406879,133323,637028,365.0,58.0,9.0,40.0,60.0,17999975,7419186,3661911,5332920,38221680,72635672
vijayawada,Andhra Pradesh,2,3225.67,8,1,1,25805.39,11276,36555,127211,36741,181254,380.0,60.0,9.0,43.0,62.0,4284880,2193300,1144899,1579863,11237748,20440690
bhubaneswar,Odisha,1,11220.94,8,1,2,89767.52,62304,146021,474475,162612,741281,380.0,60.0,10.0,43.0,65.0,23675520,8761260,4744750,6992316,48183265,92357111
pune,Maharashtra,1,1746.49,8,0,1,13971.93,7183,21573,93292,19343,63423,405.0,68.0,8.0,43.0,59.0,2909115,1466964,746336,831749,3741957,9696121
visakhapatnam,Andhra Pradesh,1,9609.25,4,1,2,38437.01,23589,65363,211277,66750,301420,385.0,62.0,10.0,44.0,63.0,9081765,4052506,2112770,2937000,18989460,37173501
chandigarh,Punjab,1,6193.79,10,0,1,61937.95,26637,85031,404417,91540,292334,390.0,68.0,11.0,48.0,64.0,10388430,5782108,4448587,4393920,18709376,43722421
raipur,Chhattisgarh,2,9053.9,6,1,2,54323.42,32028,86093,304416,92397,438398,365.0,58.0,9.0,40.0,60.0,11690220,4993394,2739744,3695880,26303880,49423118
madurai,Tamil Nadu,2,3866.44,2,1,0,7732.88,3043,9856,34602,8784,43728,368.0,58.0,9.0,38.0,60.0,1119824,571648,311418,333792,2623680,4960362
durgapur,West Bengal,2,6270.98,4,1,1,25083.91,12594,34149,122605,31531,158518,380.0,65.0,10.0,44.0,63.0,4785720,2219685,1226050,1387364,9986634,19605453
ghaziabad,Uttar Pradesh,2,10310.66,6,0,1,61863.94,28979,80796,378646,72424,252326,405.0,78.0,11.0,52.0,66.0,11736495,6302088,4165106,3766048,16653516,42623253
mangalore,Karnataka,2,5709.16,4,2,1,22836.65,14137,34749,89683,33767,197561,378.0,65.0,11.0,47.0,64.0,5343786,2258685,986513,1587049,12643904,22819937
srinagar,Jammu and Kashmir,2,4444.69,2,1,1,8889.39,4287,13302,43097,12255,56236,430.0,90.0,13.0,60.0,74.0,1843410,1197180,560261,735300,4161464,8497615
nagpur,Maharashtra,2,6526.63,1,1,2,6526.63,3818,10763,38655,11058,51248,385.0,62.0,11.0,43.0,61.0,1469930,667306,425205,475494,3126128,6164063
aurangabad,Maharashtra,2,8664.88,4,0,0,34659.52,13448,45518,206319,36047,130735,375.0,60.0,9.0,43.0,61.0,5043000,2731080,1856871,1550021,7974835,19155807
ahmedabad,Gujarat,1,5434.05,7,0,0,38038.33,12856,46105,217939,40354,143644,385.0,58.0,7.0,40.0,55.0,4949560,2674090,1525573,1614160,7900420,18663803
warangal,Telangana,2,11278.75,2,0,1,22557.5,10236,33466,151622,31127,95544,395.0,58.0,8.0,42.0,62.0,4043220,1941028,1212976,1307334,5923728,14428286
bhopal,Madhya Pradesh,1,3680.36,1,0,2,3680.36,2113,5560,24972,5151,16395,370.0,60.0,10.0,43.0,62.0,781810,333600,249720,221493,1016490,2603113
tirunelveli,Tamil Nadu,3,5810.47,2,0,1,11620.94,5121,18548,78203,15032,50137,352.0,50.0,8.0,35.0,57.0,1802592,927400,625624,526120,2857809,6739545
noida,Uttar Pradesh,1,9131.75,3,2,1,27395.24,13445,39538,108461,38547,234637,407.0,80.0,11.0,52.0,66.0,5472115,3163040,1193071,2004444,15486042,27318712
aurangabad,Maharashtra,2,8331.63,2,0,1,16663.26,6689,26961,115405,21661,72513,375.0,60.0,9.0,43.0,61.0,2508375,1617660,1038645,931423,4423293,10519396
tirunelveli,Tamil Nadu,3,10390.96,3,1,2,31172.89,18038,50514,161552,50553,226621,352.0,50.0,8.0,35.0,57.0,6349376,2525700,1292416,1769355,12917397,24854244
kanpur,Uttar Pradesh,1,11962.35,8,0,0,95698.79,31174,119335,565070,104396,380530,395.0,65.0,9.0,42.0,60.0,12313730,7756775,5085630,4384632,22831800,52372567
gorakhpur,Uttar Pradesh,2,5236.93,3,0,0,15710.78,5161,20326,94868,16294,59069,390.0,65.0,9.0,42.0,60.0,2012790,1321190,853812,684348,3544140,8416280
jabalpur,Madhya Pradesh,2,1511.58,2,2,0,3023.16,1120,3641,10815,3690,23048,365.0,58.0,10.0,42.0,60.0,408800,211178,108150,154980,1382880,2265988
pune,Maharashtra,1,558.91,7,1,1,3912.35,2256,5755,20284,5783,27735,405.0,68.0,8.0,43.0,59.0,913680,391340,162272,248669,1636365,3352326
ludhiana,Punjab,1,8777.15,3,0,1,26331.44,10885,37142,162368,32678,108447,388.0,68.0,11.0,48.0,64.0,4223380,2525656,1786048,1568544,6940608,17044236
coimbatore,Tamil Nadu,2,10513.36,1,0,1,10513.36,4867,13676,67183,11971,41576,370.0,62.0,10.0,40.0,62.0,1800790,847912,671830,478840,2577712,6377084
warangal,Telangana,2,2804.41,2,0,1,5608.82,2449,8368,36599,6697,22734,395.0,58.0,8.0,42.0,62.0,967355,485344,292792,281274,1409508,3436273
mangalore,Karnataka,2,2069.69,3,0,0,6209.06,1997,7571,34753,6251,21255,378.0,65.0,11.0,47.0,64.0,754866,492115,382283,293797,1360320,3283381
durgapur,West Bengal,2,934.02,5,0,1,4670.1,2092,6282,29056,5781,18914,380.0,65.0,10.0,44.0,63.0,794960,408330,290560,254364,1191582,2939796
kolkata,West Bengal,1,9907.89,7,0,0,69355.26,29701,89558,424931,84261,294538,400.0,65.0,8.0,43.0,63.0,11880400,5821270,3399448,3623223,18555894,43280235
salem,Tamil Nadu,2,3874.31,2,1,0,7748.61,3547,9865,35745,8598,45797,360.0,52.0,8.0,36.0,59.0,1276920,512980,285960,309528,2702023,5087411
erode,Tamil Nadu,3,4940.02,1,0,0,4940.02,1644,6697,29755,5218,18727,355.0,52.0,8.0,35.0,58.0,583620,348244,238040,182630,1086166,2438700
chandigarh,Punjab,1,6132.45,1,0,1,6132.45,2615,8966,39984,7709,25199,390.0,68.0,11.0,48.0,64.0,1019850,609688,439824,370032,1612736,4052130
durgapur,West Bengal,2,10105.55,4,1,1,40422.19,17911,53607,198866,57911,263476,380.0,65.0,10.0,44.0,63.0,6806180,3484455,1988660,2548084,16598988,31426367
hubli,Karnataka,2,7879.83,4,2,2,31519.33,19436,52811,128279,55170,310719,375.0,62.0,10.0,45.0,64.0,7288500,3274282,1282790,2482650,19886016,34214238
vijayawada,Andhra Pradesh,2,7457.76,2,2,1,14915.53,6472,22072,63424,22647,135184,380.0,60.0,9.0,43.0,62.0,2459360,1324320,570816,973821,8381408,13709725
vadodara,Gujarat,2,2272.93,2,1,0,4545.86,1591,6025,19783,5076,25128,382.0,58.0,10.0,42.0,56.0,607762,349450,197830,213192,1407168,2775402
warangal,Telangana,2,6255.64,7,0,1,43789.49,19248,63064,285763,56088,192577,395.0,58.0,8.0,42.0,62.0,7602960,3657712,2286104,2355696,11939774,27842246
nagpur,Maharashtra,2,8641.5,6,0,1,51848.98,22987,74262,329932,71564,222922,385.0,62.0,11.0,43.0,61.0,8849995,4604244,3629252,3077252,13598242,33758985
guwahati,Assam,1,11684.48,2,2,2,23368.96,15643,38780,105113,41647,237074,385.0,65.0,10.0,45.0,67.0,6022555,2520700,1051130,1874115,15883958,27352458
faridabad,Haryana,2,2576.59,4,2,2,10306.38,6262,17733,48864,19539,112693,405.0,78.0,11.0,52.0,66.0,2536110,1383174,537504,1016028,7437738,12910554
rajkot,Gujarat,2,312.61,3,1,1,937.83,504,1411,4799,1358,6272,378.0,55.0,9.0,38.0,56.0,190512,77605,43191,51604,351232,714144
gorakhpur,Uttar Pradesh,2,1088.56,1,0,1,1088.56,507,1674,7506,1407,4798,390.0,65.0,9.0,42.0,60.0,197730,108810,67554,59094,287880,721068
raipur,Chhattisgarh,2,4635.06,2,0,1,9270.12,4114,13949,60931,12151,37187,365.0,58.0,9.0,40.0,60.0,1501610,809042,548379,486040,2231220,5576291
thoothukudi,Tamil Nadu,3,9882.43,1,2,1,9882.43,4894,13685,39804,15026,83105,352.0,50.0,8.0,35.0,57.0,1722688,684250,318432,525910,4736985,7988265
hyderabad,Telangana,1,284.28,2,0,2,568.55,291,874,3747,771,2551,415.0,60.0,8.0,42.0,61.0,120765,52440,29976,32382,155611,391174
jabalpur,Madhya Pradesh,2,5589.42,3,1,1,16768.26,7903,23239,80756,22631,107601,365.0,58.0,10.0,42.0,60.0,2884595,1347862,807560,950502,6456060,12446579
indore,Madhya Pradesh,1,4084.92,2,2,1,8169.84,4183,12905,34139,12562,74146,380.0,60.0,11.0,43.0,58.0,1589540,774300,375529,540166,4300468,7580003
vijayawada,Andhra Pradesh,2,819.28,2,1,1,1638.57,752,2138,7948,2012,10225,380.0,60.0,9.0,43.0,62.0,285760,128280,71532,86516,633950,1206038
vijayawada,Andhra Pradesh,2,5512.79,3,0,2,16538.36,9227,29701,127262,26650,84562,380.0,60.0,9.0,43.0,62.0,3506260,1782060,1145358,1145950,5242844,12822472
vijayawada,Andhra Pradesh,2,3206.03,1,0,0,3206.03,1055,4230,20195,3398,12153,380.0,60.0,9.0,43.0,62.0,400900,253800,181755,146114,753486,1736055
rajkot,Gujarat,2,4352.24,4,0,1,17408.96,5554,24217,107775,21278,70854,378.0,55.0,9.0,38.0,56.0,2099412,1331935,969975,808564,3967824,9177710
nashik,Maharashtra,2,8526.26,2,1,1,17052.52,8402,22192,81464,21309,103754,390.0,62.0,9.0,44.0,62.0,3276780,1375904,733176,937596,6432748,12756204
kanpur,Uttar Pradesh,1,6354.3,2,0,0,12708.6,4053,15760,71568,13419,44457,395.0,65.0,9.0,42.0,60.0,1600935,1024400,644112,563598,2667420,6500465
erode,Tamil Nadu,3,1670.84,8,0,1,13366.72,4693,18225,84035,17316,58606,355.0,52.0,8.0,35.0,58.0,1666015,947700,672280,606060,3399148,7291203
rajkot,Gujarat,2,11544.69,2,0,1,23089.38,9211,30913,136255,24357,86597,378.0,55.0,9.0,38.0,56.0,3481758,1700215,1226295,925566,4849432,12183266
agra,Uttar Pradesh,2,7703.75,3,0,0,23111.24,8054,29872,132448,21952,85867,395.0,65.0,9.0,42.0,60.0,3181330,1941680,1192032,921984,5152020,12389046
indore,Madhya Pradesh,1,9237.25,2,2,1,18474.49,8531,28915,74315,26749,161222,380.0,60.0,11.0,43.0,58.0,3241780,1734900,817465,1150207,9350876,16295228
bhubaneswar,Odisha,1,1134.72,6,1,1,6808.29,3383,9869,35629,9835,47586,380.0,60.0,10.0,43.0,65.0,1285540,592140,356290,422905,3093090,5749965
chennai,Tamil Nadu,1,755.29,5,0,0,3776.44,1613,5186,23558,4039,14969,410.0,73.0,8.0,45.0,61.0,661330,378578,188464,181755,913109,2323236
hyderabad,Telangana,1,429.49,2,2,2,858.97,462,1353,3577,1464,8400,415.0,60.0,8.0,42.0,61.0,191730,81180,28616,61488,512400,875414
agra,Uttar Pradesh,2,2427.77,3,1,1,7283.31,3140,9918,34063,9403,44117,395.0,65.0,9.0,42.0,60.0,1240300,644670,306567,394926,2647020,5233483
pune,Maharashtra,1,5090.02,1,1,1,5090.02,2325,6484,24008,6334,29321,405.0,68.0,8.0,43.0,59.0,941625,440912,192064,272362,1729939,3576902
chandigarh,Punjab,1,11242.75,8,1,1,89941.99,42110,131285,453812,128266,636406,390.0,68.0,11.0,48.0,64.0,16422900,8927380,4991932,6156768,40729984,77228964
hyderabad,Telangana,1,5593.3,2,1,1,11186.61,6536,16742,59392,15998,77832,415.0,60.0,8.0,42.0,61.0,2712440,1004520,475136,671916,4747752,9611764
cuttack,Odisha,2,3625.01,5,0,1,18125.05,9414,26671,127727,25242,84163,375.0,58.0,9.0,42.0,64.0,3530250,1546918,1149543,1060164,5386432,12673307
surat,Gujarat,1,6830.84,2,0,1,13661.67,6500,18778,85263,15132,52861,380.0,58.0,10.0,42.0,57.0,2470000,1089124,852630,635544,3013077,8060375
ghaziabad,Uttar Pradesh,2,1520.83,3,1,2,4562.48,2557,7201,23864,7281,32792,405.0,78.0,11.0,52.0,66.0,1035585,561678,262504,378612,2164272,4402651
chandigarh,Punjab,1,7392.17,10,0,2,73921.7,47478,119043,508499,123587,394547,390.0,68.0,11.0,48.0,64.0,18516420,8094924,5593489,5932176,25251008,63388017
madurai,Tamil Nadu,2,6907.5,5,0,1,34537.49,15637,50441,223229,41528,146761,368.0,58.0,9.0,38.0,60.0,5754416,2925578,2009061,1578064,8805660,21072779
madurai,Tamil Nadu,2,9545.52,1,0,0,9545.52,3341,13618,59405,9467,35165,368.0,58.0,9.0,38.0,60.0,1229488,789844,534645,359746,2109900,5023623
lucknow,Uttar Pradesh,1,11842.91,3,0,1,35528.74,14535,52057,234124,45986,153085,405.0,65.0,9.0,47.0,60.0,5886675,3383705,2107116,2161342,9185100,22723938
vellore,Tamil Nadu,3,3160.31,2,0,1,6320.61,2950,10033,44554,8450,27861,355.0,50.0,8.0,35.0,58.0,1047250,501650,356432,295750,1615938,3817020
bangalore,Karnataka,1,6213.95,2,1,0,12427.89,4826,16307,60094,12936,73874,380.0,68.0,12.0,52.0,65.0,1833880,1108876,721128,672672,4801810,9138366
noida,Uttar Pradesh,1,10924.61,2,0,0,21849.22,6961,27963,127365,22767,78807,407.0,80.0,11.0,52.0,66.0,2833127,2237040,1401015,1183884,5201262,12856328
mysore,Karnataka,2,9465.24,2,0,1,18930.48,7575,25238,114439,21038,70162,375.0,62.0,10.0,44.0,64.0,2840625,1564756,1144390,925672,4490368,10965811
varanasi,Uttar Pradesh,2,5951.39,3,2,1,17854.18,10173,26153,68424,25989,148943,390.0,65.0,9.0,43.0,60.0,3967470,1699945,615816,1117527,8936580,16337338
nashik,Maharashtra,2,11355.39,1,1,1,11355.39,6032,16709,56792,13974,72261,390.0,62.0,9.0,44.0,62.0,2352480,1035958,511128,614856,4480182,8994604
jodhpur,Rajasthan,2,875.39,3,0,2,2626.18,1480,4378,18723,3870,12769,390.0,60.0,8.0,40.0,58.0,577200,262680,149784,154800,740602,1885066
bhubaneswar,Odisha,1,11185.78,2,0,1,22371.57,9126,32240,139452,26795,86987,380.0,60.0,10.0,43.0,65.0,3467880,1934400,1394520,1152185,5654155,13603140
chennai,Tamil Nadu,1,795.99,2,1,2,1591.97,880,2536,8203,2531,11126,410.0,73.0,8.0,45.0,61.0,360800,185128,65624,113895,678686,1404133
