city,state,tier,cost_mult,labour_mult,cement,sand,brick,aggregate,steel,verified,last_updated,source_label,source_url,notes
lucknow,Uttar Pradesh,1,1.10,1.08,405,65,9,47,60,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-Lucknow,Live April 2026. Cement OPC53 avg Rs 405 (380-430); steel Fe500 avg Rs 60/kg (57000-63000/ton); brick red clay avg Rs 9 (6-12/nos); sand river avg Rs 65/cft (1500-2000/ton); aggregate 20mm Rs 47/cft (1450-1900/ton).
ludhiana,Punjab,1,1.12,1.10,388,68,11,48,64,false,2026-04-10,regional-band Punjab Tier-1,,Inferred from Punjab band. Cement 368-408; steel 60-68/kg; brick 10-13/nos.
madurai,Tamil Nadu,2,0.90,0.87,368,58,9,38,60,false,2026-04-10,regional-band TN Tier-2,,Inferred from TN band minus Tier-2 differential. Cement 348-388; steel 56-64/kg.
mangalore,Karnataka,2,1.04,1.00,378,65,11,47,64,false,2026-04-10,regional-band Karnataka Tier-2 (coastal premium),,Coastal Karnataka slight premium for transport. Cement 358-398; steel 60-68/kg.
meerut,Uttar Pradesh,2,1.10,1.08,400,68,9,44,62,false,2026-04-10,regional-band UP Tier-2 (near Delhi),,Inferred from Delhi-NCR proximity pricing.
mumbai,Maharashtra,1,1.47,1.52,450,88,15,60,67,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-mumbai,Live April 2026. Cement OPC53 avg Rs 450 (420-480); steel Fe500 avg Rs 67/kg (64000-70000/ton); brick red clay avg Rs 15 (12-18/nos); M-sand avg Rs 88/cft (4500-5500/ton - very high due to river sand ban); aggregate 20mm Rs 60/cft (1600-2000/ton). Highest cost city.
mysore,Karnataka,2,1.06,1.02,375,62,10,44,64,false,2026-04-10,regional-band Karnataka Tier-2,,Inferred from Bangalore band minus differential.
nagpur,Maharashtra,2,1.06,1.03,385,62,11,43,61,false,2026-04-10,todaypricerates.com (prior cycle),https://property.todaypricerates.com/construction-building-materials-rate-in-Nagpur,Sourced from earlier 2026 cycle. Cement avg Rs 344 updated to Rs 385 (Apr 2026 trend +12%); steel Rs 61/kg; brick Rs 12.
nashik,Maharashtra,2,1.10,1.07,390,62,9,44,62,false,2026-04-10,regional-band Maharashtra Tier-2,,Inferred from Pune live data with Nashik differential.
noida,Uttar Pradesh,1,1.38,1.40,407,80,11,52,66,false,2026-04-10,regional-band Delhi-NCR Tier-1,,Inferred from Delhi live data with NCR Noida differential.
patna,Bihar,2,1.00,0.98,395,62,7,43,59,false,2026-04-10,todaypricerates.com Bihar (prior cycle),https://property.todaypricerates.com/Bihar-construction-building-materials-rate,Prior cycle patna data updated per April 2026 trend. Cement Rs 395 (was 385); steel Rs 59/kg; brick Rs 7 avg.
pune,Maharashtra,1,1.27,1.30,405,68,8,43,59,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-Pune,Live April 2026. Cement OPC53 avg Rs 405 (380-430); steel Fe500 avg Rs 59/kg (57000-61000/ton); brick red clay avg Rs 8 (7-10/nos); M-sand widely used - aggregate 20mm avg Rs 43/cft (1100-1500/ton); sand avg Rs 68/cft (regulated river sand).
rajkot,Gujarat,2,1.03,1.00,378,55,9,38,56,false,2026-04-10,regional-band Gujarat Tier-2,,Inferred from Ahmedabad live minus Tier-2 differential.
ranchi,Jharkhand,2,1.00,0.98,375,60,9,42,62,false,2026-04-10,regional-band Jharkhand Tier-2,,Inferred from East India regional band.
raipur,Chhattisgarh,2,0.98,0.96,365,58,9,40,60,false,2026-04-10,regional-band CG Tier-2,,Central India Tier-2 band. Cement 345-385; steel 56-64/kg.
salem,Tamil Nadu,2,0.88,0.85,360,52,8,36,59,false,2026-04-10,regional-band TN Tier-2,,Inferred from TN band minus Tier-2 differential.
shimla,Himachal Pradesh,2,1.15,1.12,415,82,12,55,70,false,2026-04-10,regional-band HP Tier-2 (hill premium),,Hill state logistics premium 10-15%. Cement 395-435; steel 66-74/kg.
srinagar,Jammu and Kashmir,2,1.18,1.15,430,90,13,60,74,false,2026-04-10,regional-band JK Tier-2 (high logistics),,Highest logistics cost (mountains + border). Cement 410-450; steel 70-78/kg; brick 12-15/nos; sand 80-100/cft.
surat,Gujarat,1,1.14,1.12,380,58,10,42,57,false,2026-04-10,regional-band Gujarat Tier-1 (anchored to Ahmedabad),,Surat slightly higher than Ahmedabad for coastal transport. Cement 360-400; steel 54-60/kg.
thiruvananthapuram,Kerala,1,1.18,1.22,395,72,12,52,67,false,2026-04-10,regional-band Kerala Tier-1,,Inferred from Kerala band. Cement 375-415; steel 63-71/kg; brick 10-14/nos.
thoothukudi,Tamil Nadu,3,0.85,0.82,352,50,8,35,57,false,2026-04-10,regional-band TN Tier-3,,TN Tier-3 lowest band. Cement 332-372; steel 54-60/kg.
tirunelveli,Tamil Nadu,3,0.85,0.82,352,50,8,35,57,false,2026-04-10,regional-band TN Tier-3,,TN Tier-3 lowest band. Cement 332-372; steel 54-60/kg.
trichy,Tamil Nadu,2,0.89,0.86,362,54,9,37,59,false,2026-04-10,regional-band TN Tier-2,,Inferred from TN band. Cement 342-382; steel 55-63/kg.
udaipur,Rajasthan,2,1.00,0.97,392,60,8,40,58,false,2026-04-10,regional-band Rajasthan Tier-2,,Inferred from Jaipur live minus differential. Cement 372-412; steel 55-61/kg.
vadodara,Gujarat,2,1.06,1.03,382,58,10,42,56,false,2026-04-10,regional-band Gujarat Tier-2,,Inferred from Ahmedabad live. Cement 362-402; steel 53-59/kg.
varanasi,Uttar Pradesh,2,0.98,0.96,390,65,9,43,60,false,2026-04-10,regional-band UP Tier-2,,Inferred from UP band anchored to Lucknow. Cement 370-410; steel 56-64/kg.
vellore,Tamil Nadu,3,0.86,0.83,355,50,8,35,58,false,2026-04-10,regional-band TN Tier-3,,Inferred from TN Tier-3 band.
vijayawada,Andhra Pradesh,2,1.06,1.03,380,60,9,43,62,false,2026-04-10,regional-band AP Tier-2,,Inferred from Hyderabad live minus AP Tier-2 differential.
visakhapatnam,Andhra Pradesh,1,1.12,1.10,385,62,10,44,63,false,2026-04-10,regional-band AP Tier-1,,Inferred from Hyderabad live. Coastal AP slight premium.
warangal,Telangana,2,1.00,0.97,395,58,8,42,62,false,2026-04-10,regional-band Telangana Tier-2 (anchored to Hyderabad live),,Inferred from Hyderabad live minus Tier-2 differential.
